,coef
UBE2Q1,0.0
RNF14,0.0
UBE2Q2,0.0
RNF10,0.0
RNF11,0.0
RNF13,0.0
REM1,0.0
REM2,0.0
RPEL1,-0.0002064323
UCHL5,0.0
TYW3,0.0
RNF17,0.0
NBEAL1,0.0
MZT2A,0.0
MZT2B,0.0
CHMP1B,-0.00040908763
PMM2,0.00027640877
PMM1,0.00039739182
ASS1,-0.00013221217
FHIT,0.0016626766
ZNF709,2.1157366e-06
ZNF708,-9.851687e-06
ZNF879,1.0431968e-05
ZNF878,-5.8892347e-06
EN1,0.0
CAMK1,-1.496258e-05
STYXL1,0.0
SPR,-6.8057116e-06
ZNF700,-4.5048832e-06
ZNF707,3.640441e-05
CAMK4,1.7720387e-05
ZNF704,0.0
ZC3H10,0.0
RNF114,0.0
RNF115,0.0
ZC3H15,0.0
ZC3H14,0.0
SPN,0.0
HMGCLL1,-1.5224216e-06
ZC3H18,0.0
GRIN1,0.00021033478
SP8,0.0
DHX9,0.0
TCOF1,0.0
NSRP1,0.0
NUP98,-0.00020328518
XPC,0.0
SP1,0.0005895691
SP2,0.0
SP3,0.0
SP4,0.0
SP5,0.0
SP6,0.0
SP7,0.0
SPPL3,0.0
GOLIM4,0.0
OPA3,0.0
OPA1,-0.00015772418
RAB40C,0.0
RAB40B,0.0
RAB40A,0.0
KRTAP21-2,0.0
FAM162B,0.0
COL7A1,-5.3369204e-05
MDP1,0.0
FAM187B,0.0
KLLN,0.0
FAM183A,0.0
OVCH2,0.0
OVCH1,0.0
PSAP,-4.0158493e-06
SPPL2A,0.0
SPPL2C,0.0
SPPL2B,0.0
ITGA8,-5.3265943e-05
ITGA9,-0.00027386524
UGCG,1.0653354e-05
MYO3B,0.0
ATP2A1,-0.0021667257
ATP2A2,-0.0010549432
ATP2A3,0.0020808312
ITGA1,4.5264214e-06
ITGA2,0.001271307
ITGA3,-0.0006935462
ITGA4,0.000115372124
ITGA5,-7.0656374e-06
ITGA6,-2.6283762e-05
ITGA7,7.744368e-06
TRHR,3.1540374e-05
DENND4A,0.0
DENND4C,0.0
ELL3,0.0
SWAP70,0.0
RARRES1,0.0
UFSP1,0.0
PHLDA3,0.0
UFSP2,0.0
