,coef
UBE2Q1,0.0
RNF14,0.0
UBE2Q2,0.0
RNF10,0.0
RNF11,0.0
RNF13,0.0
REM1,0.0
REM2,0.0
RPEL1,0.0002866956
UCHL5,0.0
TYW3,0.0
RNF17,0.0
NBEAL1,0.0
MZT2A,0.0
MZT2B,0.0
CHMP1B,-0.0046948274
PMM2,-0.041807376
PMM1,0.0050960025
ASS1,-0.001989117
FHIT,0.004694137
ZNF709,-5.397846e-05
ZNF708,-0.00033460773
ZNF879,1.7818065e-05
ZNF878,-4.9282527e-05
EN1,0.0
CAMK1,0.00042632292
STYXL1,0.0
SPR,-1.8920215e-05
ZNF700,5.369727e-06
ZNF707,0.0019589297
CAMK4,-0.0022125174
ZNF704,0.0
ZC3H10,0.0
RNF114,0.0
RNF115,0.0
ZC3H15,0.0
ZC3H14,0.0
SPN,0.0
HMGCLL1,0.0001981313
ZC3H18,0.0
GRIN1,0.058353882
SP8,0.0
DHX9,0.0
TCOF1,0.0
NSRP1,0.0
NUP98,0.0004866236
XPC,0.0
SP1,-0.000274881
SP2,0.0
SP3,0.0
SP4,0.0
SP5,0.0
SP6,0.0
SP7,0.0
SPPL3,0.0
GOLIM4,0.0
OPA3,0.0
OPA1,-0.00039013143
RAB40C,0.0
RAB40B,0.0
RAB40A,0.0
KRTAP21-2,0.0
FAM162B,0.0
COL7A1,0.0011224876
MDP1,0.0
FAM187B,0.0
KLLN,0.0
FAM183A,0.0
OVCH2,0.0
OVCH1,0.0
PSAP,0.0011867005
SPPL2A,0.0
SPPL2C,0.0
SPPL2B,0.0
ITGA8,0.007173415
ITGA9,0.00017086936
UGCG,0.00054519024
MYO3B,0.0
ATP2A1,-0.003156201
ATP2A2,-0.000407497
ATP2A3,0.0023017994
ITGA1,-0.013978225
ITGA2,-0.0028999466
ITGA3,-0.00049931626
ITGA4,-0.06725885
ITGA5,0.0039360523
ITGA6,1.7303546e-05
ITGA7,-4.0501393e-05
TRHR,0.04508418
DENND4A,0.0
DENND4C,0.0
ELL3,0.0
SWAP70,0.0
RARRES1,0.0
UFSP1,0.0
PHLDA3,0.0
UFSP2,0.0
GAP43,0.0
NABP1,0.0
PAMR1,0.0
MDK,0.0
